ensgene,SRR923920,SRR923921,SRR923923,SRR923924,SRR923925,SRR923927,SRR923926,SRR923929,SRR923928,SRR923930,SRR923931,SRR923933,SRR923932
ENSG00000005436,722,615,656,669,687,535,767,474,648,489,540,642,606
ENSG00000005448,571,502,378,460,304,467,298,506,532,426,509,343,396
ENSG00000005469,601,1709,1131,658,846,525,1049,538,1111,842,1118,915,641
ENSG00000005471,46,32,31,49,65,37,66,56,46,40,59,49,66
ENSG00000005483,6021,6168,6584,4272,6739,6586,6329,7439,9701,7788,7681,9184,10524
ENSG00000005486,3192,4588,4451,2892,3308,2120,3375,2696,2307,2609,2700,1417,1887
ENSG00000005513,37,65,40,40,64,57,21,111,91,13,113,72,90
ENSG00000005700,701,465,994,342,963,562,893,402,377,629,765,555,641
ENSG00000005801,637,530,809,814,707,419,909,715,497,632,831,670,558
ENSG00000005810,1370,1698,2237,770,2659,1297,2665,1732,1891,1777,2526,2470,2483
ENSG00000005812,937,1099,1810,551,2555,1186,1903,884,1236,1494,1511,2021,1993
ENSG00000005844,446,2912,193,596,362,983,868,1173,3328,71,1178,460,650
ENSG00000005882,1625,1930,2219,1502,1547,2070,1876,2558,1615,2378,3325,1876,2239
ENSG00000005884,1067,2265,2347,2350,1887,1575,2531,3872,1461,3297,4470,3665,3544
ENSG00000005889,1398,658,1132,1426,843,1068,701,600,605,798,925,645,778
ENSG00000005893,5446,3609,9469,2706,5752,3508,6185,2210,1791,2815,3364,2016,2711
ENSG00000005961,21,73,19,25,30,66,31,98,86,45,160,75,103
ENSG00000005981,0,3,0,0,5,0,2,1,0,0,2,0,0
ENSG00000006007,4725,2901,3759,3831,3820,3251,3977,2867,1784,1980,2776,2071,2247
ENSG00000006015,486,858,549,686,577,570,738,544,505,627,741,698,804
ENSG00000006016,157,331,62,163,143,88,138,108,206,138,77,103,85
ENSG00000006025,209,787,684,1228,536,364,938,1521,553,736,915,804,985
ENSG00000006042,2840,2247,4153,2430,3399,2107,2844,2856,1816,1952,2854,2300,2616
ENSG00000006047,13,61,140,12,67,2,49,96,30,76,44,34,56
ENSG00000006059,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000006062,352,1040,499,253,399,472,600,1134,874,744,1169,1143,850
ENSG00000006071,18,47,89,161,131,12,245,114,37,44,192,121,86
ENSG00000006116,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006118,432,879,232,1473,336,308,636,675,778,205,415,212,142
ENSG00000006125,5816,7775,7692,5725,5240,5960,6921,6318,5579,6583,8361,4713,5452
ENSG00000006128,2,9,9,27,45,6,15,42,37,0,1,7,15
ENSG00000006194,1062,1013,1216,1316,1199,1322,1327,1270,873,1209,1313,1185,1181
ENSG00000006210,594,2097,1156,796,1272,816,1714,2988,2194,1842,3552,4190,3145
ENSG00000006282,3769,3564,2636,7207,3638,3730,2688,5021,3043,1957,3380,1966,3191
ENSG00000006283,363,70,448,59,200,393,220,111,64,80,510,85,127
ENSG00000006327,310,247,85,334,212,91,323,213,103,72,152,181,261
ENSG00000006377,9,15,9,80,14,40,11,28,9,28,0,30,29
ENSG00000006432,417,492,408,649,379,287,472,350,310,350,363,491,472
ENSG00000006451,675,756,635,587,1074,501,872,611,606,535,672,820,891
ENSG00000006453,5753,4885,4485,2696,2560,3080,3931,2428,3388,1868,1697,1212,1372
ENSG00000006459,478,682,369,594,452,474,481,306,469,414,376,436,470
ENSG00000006468,219,312,198,159,5303,296,229,198,458,490,325,319,385
ENSG00000006530,1239,1455,1178,1674,856,1182,1106,1112,1539,754,1366,1009,775
ENSG00000006534,184,300,115,131,262,398,205,284,258,252,440,342,346
ENSG00000006555,45,356,888,321,472,181,626,752,175,660,728,890,628
ENSG00000006576,156,212,167,119,229,250,210,231,254,230,360,227,284
ENSG00000006606,3,4,5,0,8,14,0,6,3,3,12,3,0
ENSG00000006607,1346,1496,1073,1515,1029,1097,1072,1517,1247,1089,1513,1056,1060
ENSG00000006611,0,0,5,48,9,13,20,17,6,16,54,0,5
ENSG00000006625,795,913,680,964,1217,793,1174,515,711,375,424,511,523
ENSG00000006634,209,325,191,239,282,124,272,166,187,156,139,181,190
ENSG00000006638,42,80,61,87,48,53,28,70,46,47,98,105,64
ENSG00000006652,1160,820,1073,887,965,845,1099,609,1008,512,725,889,1168
ENSG00000006659,0,0,0,0,0,0,5,0,0,0,0,0,0
ENSG00000006695,403,406,463,472,423,335,510,372,314,485,515,348,446
ENSG00000006704,685,1228,871,930,703,658,1151,1408,846,934,1075,1444,1045
ENSG00000006712,1587,2138,2464,2456,2036,1466,2799,2175,1749,1996,2392,2063,2363
ENSG00000006715,1146,1518,1446,1008,1599,1284,1415,1089,1414,1046,1504,1361,1314
ENSG00000006740,410,593,643,361,339,537,545,761,473,620,990,775,701
ENSG00000006744,1738,1948,2112,2958,1711,1523,2514,1860,1588,1430,2211,1665,1648
ENSG00000006747,145,628,261,151,208,159,857,226,92,88,160,141,180
ENSG00000006756,3237,2934,4869,8047,5233,2034,4499,2780,1911,2050,2572,2064,2536
ENSG00000006757,1064,536,922,749,844,697,830,608,457,516,801,446,602
ENSG00000006788,7,2,4,41,1,17,1,3,19,0,1,3,2
ENSG00000006831,2309,1467,2117,1003,1731,1497,2353,1484,1171,1324,1815,1374,1340
ENSG00000006837,75,60,72,107,97,77,71,78,134,94,104,132,103
ENSG00000007001,13,8,10,11,2,7,7,2,4,6,7,7,16
ENSG00000007038,0,99,322,22,170,16,140,104,39,279,277,127,215
ENSG00000007047,725,1074,1131,1307,770,789,968,1141,881,1022,1307,965,914
ENSG00000007062,10,55,261,16,787,102,436,91,62,194,245,322,246
ENSG00000007080,493,1202,1023,1652,1186,447,1626,548,393,1138,1274,1361,1072
ENSG00000007129,75,43,20,20,36,63,45,48,66,64,58,16,37
ENSG00000007168,2311,2100,3018,1712,2818,2286,2983,2617,2220,2406,3393,3089,2881
ENSG00000007171,3,4,5,9,65,24,60,95,0,4,43,66,43
ENSG00000007174,154,119,54,26,58,15,106,34,67,57,55,20,28
ENSG00000007202,4492,5664,7481,7302,4838,3117,7175,3038,3122,3498,6298,3889,4022
ENSG00000007216,0,9,0,12,0,9,3,5,38,6,32,2,3
ENSG00000007237,459,1027,436,548,506,732,515,1289,792,810,839,603,1113
ENSG00000007255,335,349,500,748,450,358,626,382,361,225,453,290,325
ENSG00000007264,51,110,20,60,87,50,226,41,126,40,54,82,55
ENSG00000007306,0,0,23,13,95,6,13,9,17,13,859,2,0
ENSG00000007312,94,312,98,125,100,111,112,140,798,79,139,63,108
ENSG00000007314,0,14,51,9,9,0,18,51,10,15,47,2,20
ENSG00000007341,622,470,543,654,712,878,696,624,620,755,792,738,701
ENSG00000007350,0,3,0,0,14,6,14,9,31,0,17,8,0
ENSG00000007372,42,44,59,29,61,32,52,111,35,50,116,63,116
ENSG00000007376,219,552,333,521,344,180,530,231,199,227,351,286,295
ENSG00000007384,2140,2820,2548,2705,1981,1672,2581,3097,1564,1605,2164,1821,2645
ENSG00000007392,880,1536,1654,1812,1887,1412,1994,2019,1768,1827,2207,2737,2732
ENSG00000007402,449,590,480,1176,486,372,730,629,399,483,806,555,500
ENSG00000007516,808,2097,908,1381,507,577,1180,944,1150,631,857,602,544
ENSG00000007520,1263,1378,1022,1416,1160,1059,1629,741,987,935,1030,1204,1012
ENSG00000007541,652,2048,1574,1726,1020,577,1564,1191,767,1046,1752,1018,1005
ENSG00000007545,640,1850,1479,1855,1124,592,1351,1816,1022,1470,1763,1902,1948
ENSG00000007866,1461,2432,2698,1902,1718,1541,1911,3945,1868,2602,3372,2652,2573
ENSG00000007908,22,80,67,43,101,18,108,92,106,65,61,82,65
ENSG00000007923,1072,1911,1520,2084,1332,966,1838,1677,1020,1630,1926,1489,1348
ENSG00000007933,150,96,14,68,30,47,30,49,72,38,45,100,32
ENSG00000007944,1447,1297,597,1171,1114,1693,1507,1504,1426,1793,1249,2122,1673
ENSG00000007952,3,7,2,3,20,2,15,27,17,20,85,69,23
ENSG00000007968,31,117,19,33,18,12,27,23,30,0,41,34,6
ENSG00000008018,2777,2118,2617,2545,3676,1865,4176,2133,1756,1563,2029,2552,2910
ENSG00000008056,60,61,32,38,43,38,30,160,120,71,76,73,44
ENSG00000008083,534,696,938,718,500,733,582,546,706,606,806,533,575
ENSG00000008086,1184,334,732,565,426,1167,789,415,256,544,564,382,434
ENSG00000008118,36,72,117,49,140,79,73,107,133,113,351,164,137
ENSG00000008128,827,1562,995,950,1392,854,1853,804,1550,1051,809,1971,2535
ENSG00000008130,1585,2136,2106,2448,1608,1335,1946,1776,1276,1031,1626,1149,1402
ENSG00000008196,0,0,3,0,2,50,2,0,3,0,9,0,3
ENSG00000008197,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008226,1197,985,1484,1080,1921,944,2524,986,848,660,725,889,993
ENSG00000008256,1136,1873,709,1234,832,1347,870,1668,1724,1209,1455,1271,1650
ENSG00000008277,527,511,446,262,535,1041,589,944,1112,545,1398,1411,1133
ENSG00000008282,1500,2067,3092,1384,3406,1541,3608,1522,1634,2354,2724,4090,3924
ENSG00000008283,6725,5421,9352,6101,6469,3269,8469,3231,2193,2164,2327,2026,2539
ENSG00000008294,976,866,1091,922,1349,1028,1174,860,918,978,1617,1336,1345
ENSG00000008300,70,906,64,862,33,22,76,110,407,106,74,106,102
ENSG00000008311,116,143,124,50,199,145,175,185,275,144,261,337,277
ENSG00000008323,89,419,141,74,113,78,188,219,170,225,199,281,260
ENSG00000008324,1348,570,890,1224,1232,1005,920,532,564,425,669,456,624
ENSG00000008382,1060,1206,828,1325,916,833,1080,654,656,552,753,580,536
ENSG00000008394,11074,4239,5986,3648,4655,6137,3693,2690,2782,1673,3920,1080,1177
ENSG00000008405,173,263,398,208,261,189,488,181,126,264,313,381,421
ENSG00000008438,0,3,2,0,4,0,0,2,0,0,0,0,0
ENSG00000008441,3737,11124,11011,6551,3921,2882,6298,11499,6794,9728,11323,7668,7533
ENSG00000008513,1313,1246,953,929,893,1565,768,1751,1914,742,1884,801,1145
ENSG00000008516,108,261,101,188,122,172,146,231,259,62,112,149,186
ENSG00000008517,1831,3333,447,1024,1659,1920,1813,1374,3893,620,1463,1391,1713
ENSG00000008710,790,3808,2758,3165,1912,1490,2795,4033,2207,4305,5676,5850,5007
ENSG00000008735,517,941,93,455,166,368,117,153,397,103,132,107,69
ENSG00000008838,1583,2941,2597,2950,1537,1545,2462,3167,2054,2140,2929,2318,2296
ENSG00000008853,392,873,906,507,500,431,823,839,758,687,1057,587,833
ENSG00000008869,1228,1008,1338,1158,1078,1050,984,952,858,938,1269,736,880
ENSG00000008952,10187,5963,9433,7855,12493,9925,11046,8507,7634,7808,8607,11431,11369
ENSG00000008988,18370,12718,16591,14550,25429,24575,15801,15054,20694,15718,11300,21858,20529
ENSG00000009307,11206,10292,15246,10479,14421,11091,12052,11174,10253,13548,19591,14158,13436
ENSG00000009335,2476,1430,2621,2464,1851,1531,2314,1813,1404,1396,2285,1465,1408
ENSG00000009413,296,422,746,444,625,360,641,626,443,583,900,969,1040
ENSG00000009694,3654,694,561,374,558,499,1091,143,214,216,227,240,203
ENSG00000009709,0,0,0,0,0,4,0,0,0,0,2,0,0
ENSG00000009724,80,132,216,120,154,219,113,247,160,190,277,241,167
ENSG00000009765,47,59,33,82,5,9,42,2,35,7,4,0,0
ENSG00000009780,385,357,461,314,510,408,357,466,359,309,531,358,517
ENSG00000009790,316,1150,184,296,433,622,584,535,1594,162,634,296,282
ENSG00000009830,797,916,839,1278,777,708,768,1155,796,734,987,788,901
ENSG00000009844,643,737,1180,909,862,789,979,738,578,668,1024,736,712
ENSG00000009950,48,974,82,45,33,53,106,237,673,188,112,124,178
ENSG00000009954,3170,4999,3810,2863,4974,2699,4591,4252,4579,2890,3701,3991,4920
ENSG00000010017,2467,1407,2228,1732,1730,1567,1644,1199,1529,1208,1777,1239,1118
ENSG00000010030,281,368,107,21,58,123,252,208,319,120,162,252,166
ENSG00000010072,127,167,226,188,241,124,245,216,196,131,271,148,138
ENSG00000010165,688,697,1228,1230,933,776,1179,1073,716,744,1091,1027,902
ENSG00000010219,1297,662,961,667,977,1554,836,1017,690,709,975,635,692
ENSG00000010244,3943,4337,4987,4989,5019,4020,4538,4471,3954,3834,4720,4829,4422
ENSG00000010256,3524,3399,3375,5114,3788,2853,6283,3820,2854,2690,3318,3436,3230
ENSG00000010270,1985,1188,2172,1005,1656,972,1873,599,731,483,851,584,926
ENSG00000010278,10852,9501,23627,5649,17704,7776,20268,10873,5221,9633,10415,11994,10388
ENSG00000010282,0,6,6,0,0,7,5,6,0,19,11,3,0
ENSG00000010292,901,1715,1177,1075,931,774,1091,1361,968,1263,1828,1259,1094
ENSG00000010295,323,875,343,255,620,849,578,1121,874,545,798,756,919
ENSG00000010310,9,131,85,28,150,27,262,304,91,252,221,416,424
ENSG00000010318,186,221,166,133,164,140,210,169,179,220,174,168,139
ENSG00000010319,272,391,347,766,147,98,234,264,275,155,195,125,281
ENSG00000010322,3487,7118,6823,6972,4660,2911,6557,8020,4730,5840,8127,6475,7237
ENSG00000010327,1527,3122,665,1624,1319,1415,1663,3078,1502,719,1805,937,1659
ENSG00000010361,335,533,409,445,364,484,410,561,411,554,594,531,576
ENSG00000010379,12,9,37,6,34,16,12,59,0,1,28,45,67
ENSG00000010404,3381,4593,3820,2425,2608,4865,3194,5275,5031,5528,6268,4592,4093
ENSG00000010438,0,4,0,6,1,9,21,1,8,4,85,3,3
ENSG00000010539,396,185,301,308,294,339,253,254,343,227,351,230,278
ENSG00000010610,1322,2649,323,554,763,2483,1143,1237,2809,341,1299,410,704
ENSG00000010626,432,356,194,96,316,464,316,413,343,372,408,401,451
ENSG00000010671,167,287,73,112,188,240,168,137,594,42,203,101,200
ENSG00000010704,232,353,532,141,369,312,392,448,321,469,687,691,596
ENSG00000010803,2758,3318,3055,4454,2318,2352,2733,3432,2223,2680,3372,2261,2514
ENSG00000010810,985,1616,703,933,697,1319,930,1174,2643,684,1509,990,1051
ENSG00000010818,491,548,781,475,463,243,897,430,437,596,792,649,484
ENSG00000010932,52,48,14,18,59,15,70,35,40,53,75,45,39
ENSG00000011007,2393,2035,2192,2402,1600,1920,2143,1665,1803,1432,1848,1335,1581
ENSG00000011009,1048,1372,1287,1820,915,821,1139,952,718,718,963,654,562
ENSG00000011021,833,1623,1574,1474,794,1055,1142,1562,1222,1112,1761,1285,1289
ENSG00000011028,715,2749,1513,1461,1437,1243,1989,3730,2312,2083,4064,3347,3324
ENSG00000011052,7557,4844,5149,14370,11705,7451,11844,5188,5647,4574,4878,6984,6417
ENSG00000011083,1,5,1,3,0,4,3,4,11,14,8,3,6
ENSG00000011105,2098,2190,3647,1635,2744,1910,2639,2906,1440,1406,2517,2031,2641
ENSG00000011114,797,715,948,639,927,730,819,771,672,1030,1093,870,1106
ENSG00000011132,236,609,487,651,371,257,512,453,362,525,666,603,579
ENSG00000011143,334,456,570,819,392,380,484,633,393,514,584,507,501
ENSG00000011198,235,176,301,323,323,238,360,191,129,100,330,228,226
ENSG00000011201,61,153,433,128,204,106,148,130,153,101,276,148,252
ENSG00000011243,1522,2198,2131,3358,1929,1608,2556,3013,2223,1645,2298,2603,3095
ENSG00000011258,461,390,550,487,516,606,639,427,565,680,684,996,789
ENSG00000011260,486,365,368,774,532,383,696,330,339,328,396,503,542
ENSG00000011275,996,2343,1467,1542,1477,1030,1657,2040,1760,1407,2274,1781,2028
ENSG00000011295,2821,2062,3127,2486,2628,2457,2662,2131,2160,1922,2472,2214,2308
ENSG00000011304,4434,7585,6713,7507,4088,3740,5301,5992,4563,5838,6633,6124,5089
ENSG00000011332,52,39,7,44,35,13,47,51,56,11,26,8,69
ENSG00000011347,9745,8521,14559,11137,4501,5675,7333,4596,3210,3098,4314,539,1756
ENSG00000011376,605,866,951,1062,474,496,1156,502,553,439,695,568,392
ENSG00000011405,605,698,1093,394,1111,428,1037,605,770,885,741,1159,1258
ENSG00000011422,231,238,125,268,172,416,255,306,286,118,290,289,265
ENSG00000011426,59,62,20,70,59,0,42,14,24,0,30,30,9
ENSG00000011451,804,1941,1579,2115,1183,850,1214,1570,1088,1197,1834,1342,1288
ENSG00000011454,1779,1850,3382,1742,2329,1846,2489,2235,1586,2246,3026,2696,2602
ENSG00000011465,8874,18522,5764,6442,12190,20285,10454,12698,24556,20264,27923,15521,18237
ENSG00000011478,748,490,566,857,329,356,363,479,366,397,345,265,242
ENSG00000011485,1876,2699,2308,2922,1522,1657,2187,2203,1758,1577,2601,1528,1716
ENSG00000011523,707,700,854,527,976,961,676,960,982,1107,1465,1417,1705
ENSG00000011566,377,448,533,377,560,299,601,429,434,502,602,696,789
ENSG00000011590,17,54,5,18,14,11,5,48,36,2,36,11,14
ENSG00000011600,4425,3180,554,1002,1724,6524,1091,1863,2258,556,1691,330,662
ENSG00000011638,881,453,465,439,809,1025,761,511,366,599,785,1206,898
ENSG00000011677,11,0,11,0,0,21,34,3,0,12,23,0,18
ENSG00000012048,171,202,136,179,130,161,140,174,135,134,201,204,108
ENSG00000012061,3497,3034,3217,3111,2539,3432,3177,3579,3247,2880,3196,3366,3021
ENSG00000012124,100,745,140,207,150,305,97,104,2168,189,373,56,76
ENSG00000012171,284,926,759,812,760,547,856,1631,812,1293,1360,1441,2173
ENSG00000012174,417,363,612,297,563,328,509,252,482,328,454,325,371
ENSG00000012211,180,292,250,240,246,148,358,352,223,241,416,291,236
ENSG00000012223,70,19208,7307,867,60837,755,41763,19026,8612,3004,13024,9145,7323
ENSG00000012232,611,1007,1229,984,765,582,1250,1471,900,913,1535,1186,1215
ENSG00000012504,8,54,0,0,8,12,0,0,39,19,29,2,3
ENSG00000012660,3442,4391,14610,6597,5216,2553,8548,1705,2186,1855,3851,1497,2190
ENSG00000012779,937,1419,862,937,777,931,774,1026,1386,773,1089,929,628
ENSG00000012817,526,3050,2515,3099,2059,1647,2235,2791,2677,2404,3241,2512,2824
ENSG00000012822,3885,5603,3596,3717,3069,3639,4427,6821,4341,4339,6116,4693,6016
ENSG00000012963,1192,1132,1140,1089,1171,789,1445,824,957,865,1281,905,1008
ENSG00000012983,357,362,777,454,765,508,831,588,589,629,878,1147,1405
ENSG00000013016,487,714,430,528,432,516,534,913,800,469,1137,563,749
ENSG00000013275,3214,2948,3720,3366,2574,2550,3245,2615,2327,1898,2757,1798,1890
ENSG00000013288,2436,2639,4308,3025,2961,1745,3675,2640,2014,2031,4003,2266,2886
ENSG00000013293,2,25,7,1,16,33,15,72,61,0,76,36,56
ENSG00000013297,82,441,335,195,479,462,387,712,693,471,840,980,1157
ENSG00000013306,8362,5513,4359,4508,4047,6020,4869,3955,4022,2733,3385,1946,2218
ENSG00000013364,1115,4431,2336,1847,2752,1357,4055,4406,2868,2409,4277,4200,4027
ENSG00000013374,2697,4116,2824,2392,2216,2287,2861,2993,3524,2099,3151,2761,2605
ENSG00000013375,6431,2051,5368,2071,4936,3517,3708,1771,1227,2023,2282,1343,1720
ENSG00000013392,2162,805,1571,708,2140,1280,1527,753,420,828,812,464,726
ENSG00000013441,4678,5103,4827,4670,4564,6315,5166,6187,6632,6501,6477,6212,6604
ENSG00000013503,490,312,488,518,417,441,518,335,301,537,542,285,284
ENSG00000013523,787,1142,1162,1183,700,1121,898,1404,1136,1007,1167,863,1017
ENSG00000013561,769,651,1280,693,1306,695,1266,545,558,711,818,859,828
ENSG00000013563,1930,1798,1652,2015,1412,1819,1651,1307,1229,862,1379,850,881
ENSG00000013573,617,1297,595,893,821,1068,741,1211,1045,1008,1953,467,1874
ENSG00000013583,947,859,1231,943,1831,1249,1975,1461,812,1257,1466,1340,1650
ENSG00000013588,30,446,296,245,751,231,771,756,329,1075,1139,2050,1363
ENSG00000013619,159,234,372,157,311,186,201,365,290,301,771,192,382
ENSG00000013725,413,1131,87,216,156,346,345,512,1620,92,342,176,274
ENSG00000013810,337,950,134,632,239,253,272,294,506,149,332,101,220
ENSG00000014123,390,418,885,531,886,264,737,361,342,526,696,732,801
